Iteracion,Tiempo_Metodo1,Tiempo_Metodo2,Tiempo_Metodo3
0, 0.218750, 0.234375, 0.718750
1, 0.171875, 0.265625, 0.906250
2, 0.234375, 0.265625, 0.750000
3, 0.203125, 0.234375, 0.859375
4, 0.203125, 0.265625, 0.765625
5, 0.171875, 0.250000, 0.843750
6, 0.171875, 0.265625, 0.812500
7, 0.187500, 0.250000, 0.890625
8, 0.156250, 0.250000, 0.890625
9, 0.156250, 0.234375, 0.875000
10, 0.171875, 0.265625, 1.109375
11, 0.203125, 0.218750, 0.687500
12, 0.187500, 0.281250, 0.812500
13, 0.171875, 0.218750, 0.750000
14, 0.187500, 0.265625, 0.843750
15, 0.187500, 0.250000, 0.765625
16, 0.187500, 0.250000, 0.890625
17, 0.171875, 0.265625, 0.750000
18, 0.203125, 0.265625, 0.921875
19, 0.187500, 0.250000, 0.796875
20, 0.187500, 0.281250, 0.843750
21, 0.187500, 0.265625, 0.750000
22, 0.171875, 0.218750, 0.859375
23, 0.171875, 0.265625, 0.765625
24, 0.187500, 0.265625, 0.875000
25, 0.187500, 0.250000, 0.750000
26, 0.187500, 0.250000, 0.859375
27, 0.187500, 0.265625, 0.625000
28, 0.171875, 0.250000, 0.812500
29, 0.171875, 0.234375, 0.671875
30, 0.171875, 0.234375, 0.562500
31, 0.093750, 0.125000, 0.375000
32, 0.109375, 0.125000, 0.406250
33, 0.093750, 0.140625, 0.375000
34, 0.093750, 0.125000, 0.437500
35, 0.093750, 0.125000, 0.375000
36, 0.109375, 0.125000, 0.437500
37, 0.093750, 0.140625, 0.375000
38, 0.093750, 0.125000, 0.421875
39, 0.093750, 0.140625, 0.375000
40, 0.093750, 0.125000, 0.734375
41, 0.187500, 0.265625, 0.796875
42, 0.187500, 0.265625, 0.812500
43, 0.187500, 0.250000, 0.750000
44, 0.187500, 0.265625, 0.953125
45, 0.187500, 0.265625, 0.750000
46, 0.187500, 0.250000, 0.843750
47, 0.171875, 0.265625, 0.750000
48, 0.187500, 0.265625, 0.875000
49, 0.187500, 0.250000, 0.765625
50, 0.187500, 0.265625, 0.921875
51, 0.187500, 0.265625, 0.750000
52, 0.171875, 0.265625, 0.859375
53, 0.171875, 0.171875, 0.500000
54, 0.109375, 0.171875, 0.468750
55, 0.109375, 0.140625, 0.562500
56, 0.109375, 0.156250, 0.625000
57, 0.109375, 0.140625, 0.531250
58, 0.109375, 0.140625, 0.375000
59, 0.109375, 0.156250, 0.531250
60, 0.093750, 0.140625, 0.421875
61, 0.109375, 0.156250, 0.781250
62, 0.156250, 0.218750, 0.671875
63, 0.156250, 0.296875, 0.843750
64, 0.171875, 0.218750, 0.671875
65, 0.171875, 0.234375, 0.765625
66, 0.156250, 0.156250, 0.656250
67, 0.140625, 0.203125, 0.718750
68, 0.140625, 0.250000, 0.625000
69, 0.156250, 0.187500, 0.734375
70, 0.140625, 0.140625, 0.375000
71, 0.140625, 0.140625, 0.453125
72, 0.093750, 0.125000, 0.390625
73, 0.093750, 0.140625, 0.437500
74, 0.093750, 0.140625, 0.375000
75, 0.093750, 0.125000, 0.453125
76, 0.093750, 0.125000, 0.390625
77, 0.093750, 0.140625, 0.531250
78, 0.125000, 0.156250, 0.375000
79, 0.093750, 0.125000, 0.453125
80, 0.109375, 0.125000, 0.406250
81, 0.093750, 0.125000, 0.437500
82, 0.109375, 0.125000, 0.390625
83, 0.093750, 0.109375, 0.437500
84, 0.109375, 0.125000, 0.390625
85, 0.078125, 0.140625, 0.437500
86, 0.109375, 0.125000, 0.421875
87, 0.093750, 0.140625, 0.437500
88, 0.093750, 0.125000, 0.453125
89, 0.078125, 0.140625, 0.421875
90, 0.109375, 0.125000, 0.390625
91, 0.109375, 0.140625, 0.437500
92, 0.109375, 0.125000, 0.375000
93, 0.093750, 0.125000, 0.468750
94, 0.093750, 0.140625, 0.390625
95, 0.093750, 0.125000, 0.437500
96, 0.093750, 0.140625, 0.406250
97, 0.093750, 0.140625, 0.437500
98, 0.093750, 0.125000, 0.437500
99, 0.093750, 0.125000, 0.437500
