Iteracion,Tiempo_Metodo1,Tiempo_Metodo2,Tiempo_Metodo3
0, 0.062500, 0.062500, 0.093750
1, 0.031250, 0.046875, 0.093750
2, 0.031250, 0.046875, 0.093750
3, 0.046875, 0.046875, 0.093750
4, 0.031250, 0.046875, 0.093750
5, 0.031250, 0.046875, 0.093750
6, 0.046875, 0.046875, 0.093750
7, 0.031250, 0.046875, 0.093750
8, 0.031250, 0.046875, 0.093750
9, 0.031250, 0.046875, 0.109375
10, 0.031250, 0.031250, 0.078125
11, 0.031250, 0.046875, 0.093750
12, 0.031250, 0.046875, 0.093750
13, 0.031250, 0.046875, 0.109375
14, 0.031250, 0.046875, 0.093750
15, 0.031250, 0.046875, 0.093750
16, 0.031250, 0.031250, 0.093750
17, 0.031250, 0.046875, 0.093750
18, 0.031250, 0.046875, 0.093750
19, 0.046875, 0.031250, 0.093750
20, 0.046875, 0.031250, 0.109375
21, 0.031250, 0.046875, 0.093750
22, 0.031250, 0.046875, 0.093750
23, 0.031250, 0.046875, 0.093750
24, 0.031250, 0.046875, 0.109375
25, 0.031250, 0.046875, 0.125000
26, 0.046875, 0.046875, 0.093750
27, 0.031250, 0.062500, 0.109375
28, 0.031250, 0.046875, 0.109375
29, 0.031250, 0.046875, 0.093750
30, 0.031250, 0.046875, 0.093750
31, 0.031250, 0.046875, 0.109375
32, 0.031250, 0.046875, 0.093750
33, 0.046875, 0.046875, 0.093750
34, 0.031250, 0.046875, 0.093750
35, 0.031250, 0.046875, 0.093750
36, 0.031250, 0.062500, 0.093750
37, 0.031250, 0.046875, 0.093750
38, 0.031250, 0.046875, 0.109375
39, 0.031250, 0.046875, 0.093750
40, 0.031250, 0.046875, 0.093750
41, 0.031250, 0.046875, 0.093750
42, 0.031250, 0.062500, 0.093750
43, 0.031250, 0.046875, 0.109375
44, 0.031250, 0.046875, 0.093750
45, 0.031250, 0.046875, 0.125000
46, 0.031250, 0.062500, 0.109375
47, 0.031250, 0.046875, 0.093750
48, 0.031250, 0.046875, 0.093750
49, 0.031250, 0.062500, 0.093750
50, 0.031250, 0.046875, 0.093750
51, 0.031250, 0.046875, 0.109375
52, 0.031250, 0.078125, 0.156250
53, 0.078125, 0.078125, 0.171875
54, 0.046875, 0.078125, 0.187500
55, 0.062500, 0.078125, 0.203125
56, 0.062500, 0.093750, 0.203125
57, 0.062500, 0.093750, 0.187500
58, 0.046875, 0.093750, 0.203125
59, 0.062500, 0.093750, 0.218750
60, 0.062500, 0.078125, 0.187500
61, 0.062500, 0.093750, 0.187500
62, 0.062500, 0.093750, 0.187500
63, 0.062500, 0.093750, 0.203125
64, 0.062500, 0.093750, 0.203125
65, 0.078125, 0.093750, 0.203125
66, 0.046875, 0.078125, 0.234375
67, 0.078125, 0.109375, 0.203125
68, 0.062500, 0.093750, 0.203125
69, 0.062500, 0.078125, 0.203125
70, 0.062500, 0.093750, 0.187500
71, 0.062500, 0.093750, 0.156250
72, 0.062500, 0.093750, 0.203125
73, 0.062500, 0.078125, 0.156250
74, 0.062500, 0.093750, 0.187500
75, 0.062500, 0.093750, 0.187500
76, 0.062500, 0.093750, 0.203125
77, 0.046875, 0.078125, 0.171875
78, 0.046875, 0.093750, 0.203125
79, 0.062500, 0.093750, 0.203125
80, 0.062500, 0.078125, 0.203125
81, 0.062500, 0.078125, 0.187500
82, 0.046875, 0.078125, 0.171875
83, 0.062500, 0.062500, 0.171875
84, 0.062500, 0.093750, 0.187500
85, 0.046875, 0.078125, 0.187500
86, 0.062500, 0.109375, 0.234375
87, 0.078125, 0.078125, 0.187500
88, 0.062500, 0.093750, 0.187500
89, 0.062500, 0.093750, 0.203125
90, 0.046875, 0.078125, 0.203125
91, 0.046875, 0.078125, 0.187500
92, 0.046875, 0.093750, 0.203125
93, 0.046875, 0.093750, 0.171875
94, 0.062500, 0.078125, 0.187500
95, 0.062500, 0.093750, 0.203125
96, 0.062500, 0.078125, 0.171875
97, 0.046875, 0.093750, 0.187500
98, 0.062500, 0.078125, 0.171875
99, 0.062500, 0.109375, 0.187500
